lbl_0,70,51,54,63,54,74,86,99
lbl_1,54,73,58,99,88,59,51,83
lbl_2,53,74,95,75,79,59,90,52
lbl_3,88,90,74,77,77,63,51,99
lbl_4,87,63,75,58,50,90,64,82
lbl_5,68,95,98,94,90,90,77,58
lbl_6,77,82,70,51,79,76,81,73
lbl_7,74,93,99,62,59,51,97,61
lbl_8,51,57,86,74,76,92,65,91
lbl_9,64,94,98,70,82,79,84,70
lbl_10,70,51,54,63,54,74,86,99
lbl_11,54,73,58,99,88,59,51,83
lbl_12,53,74,95,75,79,59,90,52
lbl_13,88,90,74,77,77,63,51,99
lbl_14,87,63,75,58,50,90,64,82
lbl_15,68,95,98,94,90,90,77,58
lbl_16,77,82,70,51,79,76,81,73
lbl_17,74,93,99,62,59,51,97,61
lbl_18,51,57,86,74,76,92,65,91
lbl_19,64,94,98,70,82,79,84,70
lbl_10,70,51,54,63,54,74,86,99
lbl_11,54,73,58,99,88,59,51,83
lbl_12,53,74,95,75,79,59,90,52
lbl_13,88,90,74,77,77,63,51,99
lbl_14,87,63,75,58,50,90,64,82
lbl_15,68,95,98,94,90,90,77,58
lbl_16,77,82,70,51,79,76,81,73
lbl_17,74,93,99,62,59,51,97,61
lbl_18,51,57,86,74,76,92,65,91
lbl_19,64,94,98,70,82,79,84,70
lbl_110,70,51,54,63,54,74,86,99
lbl_111,54,73,58,99,88,59,51,83
lbl_112,53,74,95,75,79,59,90,52
lbl_113,88,90,74,77,77,63,51,99
lbl_114,87,63,75,58,50,90,64,82
lbl_115,68,95,98,94,90,90,77,58
lbl_116,77,82,70,51,79,76,81,73
lbl_117,74,93,99,62,59,51,97,61
lbl_118,51,57,86,74,76,92,65,91
lbl_119,64,94,98,70,82,79,84,70
