lbl_0,71,60,96,62,78,87,52,55
lbl_1,79,99,85,99,62,62,97,89
lbl_2,77,68,73,88,84,73,60,96
lbl_3,54,61,98,90,95,59,65,74
lbl_4,54,94,69,73,91,58,95,85
lbl_5,83,93,57,53,63,77,69,68
lbl_6,76,96,82,52,77,99,54,57
lbl_7,63,54,66,70,97,81,91,74
lbl_8,82,93,50,85,52,63,87,55
lbl_9,95,54,68,56,96,69,94,88
lbl_10,94,55,61,65,94,70,89,61
lbl_11,64,61,87,80,83,81,55,52
lbl_12,70,67,61,77,87,91,88,73
lbl_13,82,81,70,78,69,88,90,69
lbl_14,88,77,97,59,88,87,84,59
lbl_15,83,83,68,52,98,64,82,57
lbl_16,98,97,93,54,75,61,73,90
lbl_17,86,76,56,65,99,69,74,63
lbl_18,53,94,89,60,86,93,73,96
lbl_19,94,86,85,79,59,90,61,70
lbl_20,69,85,88,52,62,51,78,83
lbl_21,57,79,97,56,71,67,51,94
lbl_22,98,90,69,53,90,69,53,75
lbl_23,71,73,65,73,95,65,88,77
lbl_24,81,77,56,53,70,71,85,69
lbl_25,65,87,98,99,95,87,55,93
lbl_26,95,56,63,99,83,82,53,91
lbl_27,68,90,70,77,68,98,95,94
lbl_28,68,54,78,62,68,68,53,89
lbl_29,81,89,89,56,65,70,55,58
lbl_30,71,93,79,66,78,66,52,79
lbl_31,74,55,51,98,82,69,69,55
lbl_32,95,86,73,73,87,79,97,81
lbl_33,62,97,73,71,66,66,90,59
lbl_34,91,80,52,61,70,66,92,78
lbl_35,80,96,97,94,69,88,70,52
lbl_36,64,99,97,81,79,54,74,50
lbl_37,57,62,60,92,97,77,93,93
lbl_38,97,57,94,64,55,50,57,66
lbl_39,93,75,99,55,83,65,74,99
lbl_40,58,79,93,88,56,84,72,94
lbl_41,61,55,99,57,76,72,95,91
lbl_42,83,66,65,57,95,70,94,75
lbl_43,73,71,72,99,63,75,95,56
lbl_44,75,90,55,92,50,59,99,85
lbl_45,56,63,72,65,52,63,76,86
lbl_46,65,99,70,81,69,96,82,56
lbl_47,99,81,96,99,93,64,61,71
lbl_48,71,93,82,62,73,86,93,63
lbl_49,68,98,99,51,76,73,84,90
